text,label
çok pahalı,negative
ses kalitesi berbat,negative
çok ağır,negative
oyunlarda gecikme yüksek,negative
ilk izlenimim olumsuz. malzeme kalitesi dandik,negative
tasarımı çok kötü,negative
telefonla eşleştirme işlemi düzgün çalışmıyor,negative
bass kalitesi kötü,negative
telefon konuşmalarında mikrofon performansı kötü,negative
fiyati çok yüksek,negative
bass kalitesi kötü,negative
mikrofon performansı zayıf,negative
fiyatı çok yüksek,negative
ürün rahat değil ve görüntüsü şık değil,negative
Tasarımı sade ve şık duruyor. İlk izlenimim olumlu oldu.,positive
Uzun kullanımda kulağı çok fazla rahatsız etmiyor. Beklentimi büyük ölçüde karşıladı.,positive
Telefonla eşleştirme işlemi kolay oldu. Günlük kullanım için rahatlıkla tercih edilebilir.,positive
Mikrofonu dış ortamda biraz zayıf kalabiliyor. Fiyatı biraz daha uygun olsa daha iyi olurdu.,positive
Fiyatına göre alınabilecek mantıklı bir ürün. Tekrar almayı düşünebilirim.,positive
Tasarımı sade ve şık duruyor. İlk izlenimim olumlu oldu.,positive
Genel olarak beklentimi karşıladı. Fiyatı biraz daha uygun olsa daha iyi olurdu.,positive
Ses kalitesi günlük kullanım için gayet yeterli. Benzer ürünlere göre başarılı buldum.,positive
Tasarımı sade ve şık duruyor. Genel olarak memnun kaldım.,positive
Dış ses yalıtımı kalabalık ortamlarda işe yarıyor. Uzun vadede performansını görmek lazım.,positive
Telefonla eşleştirme işlemi kolay oldu. Benzer ürünlere göre başarılı buldum.,positive
Telefonla eşleştirme işlemi kolay oldu. Günlük kullanım için rahatlıkla tercih edilebilir.,positive
Oyunlarda gecikme çok fark edilmiyor. Beklentimi büyük ölçüde karşıladı.,negative
Malzeme kalitesi iyi fakat daha sağlam hissedebilirdi. Genel olarak memnun kaldım.,negative
Ses seviyesi yüksek ama son seviyede biraz bozulma var. İlk izlenimim olumlu oldu.,positive
Ses kalitesi günlük kullanım için gayet yeterli. Benzer ürünlere göre başarılı buldum.,positive
Şarj kutusu küçük olduğu için taşımak kolay. Benzer ürünlere göre başarılı buldum.,positive
Bluetooth bağlantısı genel olarak stabil ama bazen geç bağlanıyor. Günlük kullanım için rahatlıkla tercih edilebilir.,positive
"Kulak pedleri yumuşak, uzun kullanımda avantaj sağlıyor. Günlük kullanım için rahatlıkla tercih edilebilir.",positive
Genel olarak beklentimi karşıladı. Uzun vadede performansını görmek lazım.,positive
Kutu içeriği yeterli ve ürün düzgün paketlenmişti. Genel olarak memnun kaldım.,positive
Mikrofonu dış ortamda biraz zayıf kalabiliyor. Uzun vadede performansını görmek lazım.,positive
